날짜,품번,품목군,품목,코업,포승,포승이고,청호,한라,진성,청호이고,해드림,그린써브케이탑,본사,직송,재고합계,당월출고수량,직전출고수량,일일소비량,7일활동소비량,7일실질소비량,안전재고,상태,최소재고,최대재고,긴급발생횟수,긴급발생비율,재고_커버리지,소비_급증률,유형_분류,위험점수,위험등급
2026. 1. 29,10401,a. 이스트(제조),생이스트 500g,223.68,"1,483.00",400.00,,,,,,1.00,,,"1,707.68","5,713.13",5713.125,0.00,0.00,0.00,0.00,정상,144.93,"1,286.83",34,89.47%,0.00,0.00%,점검필요,0.00,여유
2026. 1. 29,10402,a. 이스트(제조),생이스트 15kg,0.00,180.00,,,,,,,,,,180.00,270.00,0,270.00,0.00,38.57,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,10405,a. 이스트(제조),생이스트 (냉동생지) 500g,2.00,,,,,,,,,,,2.00,86.00,0,86.00,0.00,12.29,0.00,정상,0.95,25.00,26,68.42%,0.16,0.00%,즉시보충,320.83,즉시처리
2026. 1. 29,10714,a. 이스트(제조),제니코 인스턴트이스트 5kg,39.25,70.00,,,,,,,,,,109.25,122.00,0,122.00,0.00,17.43,0.00,정상,27.25,39.25,1,2.63%,2.25,0.00%,여유재고,22.73,여유
2026. 1. 29,26102,a. 이스트(제조),인스턴트이스트 4g (2000),0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 1. 29,21323,a. 이스트,글로리팡 생이스트 500g,737.90,,,,,,,,,,,737.90,"1,724.05",0,"1,724.05",0.00,246.29,0.00,정상,39.00,737.90,19,50.00%,3.00,0.00%,여유재고,26.69,여유
2026. 1. 29,21347,a. 이스트,글로리팡 생이스트 벌크 20kg,80.00,,,,,,,,,,,80.00,760.00,0,760.00,0.00,108.57,0.00,정상,40.00,360.00,10,26.32%,0.74,0.00%,즉시보충,73.12,주의
2026. 1. 29,21340,a. 이스트,레드스타 생이스트 500g,96.00,,,,,,,,,,,96.00,341.90,0,341.90,0.00,48.84,0.00,정상,3.00,151.00,21,55.26%,1.97,0.00%,즉시보충,36.49,여유
2026. 1. 29,21343,a. 이스트,레드스타 생이스트 벌크 10kg,760.00,,,,,,,,,,,760.00,"2,440.00",0,"2,440.00",0.00,348.57,0.00,정상,150.00,993.00,8,21.05%,2.18,0.00%,여유재고,27.14,여유
2026. 1. 29,21501,a. 이스트,냉동건조효모 (하이론댈) 골드라벨,679.00,,,,"1,446.00",,,,46.00,,,"2,171.00","2,518.75",0,"2,518.75",0.00,359.82,0.00,정상,208.75,"2,314.50",8,21.05%,1.89,0.00%,즉시보충,30.71,여유
2026. 1. 29,21502,a. 이스트,냉동건조효모 (하이론댈),251.00,200.00,,,,,,,,,,451.00,597.75,0,597.75,0.00,85.39,0.00,정상,61.50,796.00,4,10.53%,2.94,0.00%,여유재고,19.12,여유
2026. 1. 29,21301,a. 이스트,사프 인스턴트이스트 500g (R),624.35,"2,992.00",264.00,,,,,,,,,"3,616.35","3,349.70",0,"3,349.70",0.00,478.53,0.00,정상,44.35,857.35,31,81.58%,1.30,0.00%,즉시보충,54.64,주의
2026. 1. 29,21302,a. 이스트,사프 인스턴트이스트 500g (G),670.85,"1,408.00",88.00,,,,,,,,,"2,078.85","2,714.20",0,"2,714.20",0.00,387.74,0.00,정상,134.60,"1,312.60",11,28.95%,1.73,0.00%,즉시보충,34.69,여유
2026. 1. 29,21303,a. 이스트,사프 인스턴트이스트 125g (R),170.17,658.00,,,,,,,,,,828.17,157.00,0,157.00,0.00,22.43,0.00,정상,26.17,170.17,1,2.63%,7.59,0.00%,여유재고,7.12,여유
2026. 1. 29,21305,a. 이스트,사프 인스턴트이스트 10kg (R),227.00,720.00,,,,,,,,,,947.00,751.00,0,751.00,0.00,107.29,0.00,정상,82.00,262.00,1,2.63%,2.12,0.00%,여유재고,24.16,여유
2026. 1. 29,21307,a. 이스트,사프 인스탄트이스트 10kg (R) (KKD),0.00,"1,577.00",,,,,,,,,,"1,577.00",0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 1. 29,21329,a. 이스트,사프 트레디지 400g,54.75,,,,,,,,,1.00,,55.75,5.00,0,5.00,0.00,0.71,0.00,정상,45.75,54.75,1,2.63%,76.65,0.00%,여유재고,1.18,여유
